"","Distance_km","Elev_m","ET14_mm","ET15_mm","ET16_mm","ET17_mm","ET18_mm","ET19_mm","ETMN_mm","Distance_m"
"114",5.7,1310.91242546064,594.259850722303,779.934918981504,582.292813080718,665.9032079429,593.324839415273,650.134092964385,644.308302784936,5700
"115",5.75,1308.77636470363,633.072972368377,814.485701397864,644.083810265149,721.766651023756,638.046238362751,702.17236989153,692.271312366182,5750
"116",5.8,1309.94386773973,717.333334563475,897.98843922824,776.347624082078,827.231600870503,734.184124067156,798.68127945078,791.961077684245,5800
"117",5.85,1309.40743291964,790.281888614052,976.130065259963,897.317439794387,920.612494394107,818.351416880501,887.458644051129,881.691993109395,5850
"118",5.9,1305.87318960064,839.201264294745,1065.15502298706,973.234844898102,967.949725690171,861.181896770131,916.623592328001,937.224383653529,5900
"119",5.95,1301.13704290763,673.240018601329,858.859035278364,706.95377561687,760.787860997048,715.973719670308,744.818573304903,743.438842070795,5950
"120",6,1300.44796945532,636.870288755646,808.713985532343,683.140063190317,754.114619548806,681.45658298249,738.849657291888,717.190883254831,6000
"121",6.05,1298.78004706107,674.151214082613,855.636209923416,741.748539444134,799.142235058329,728.413676153748,756.527116261765,759.269838501482,6050
"122",6.1,1302.87445745894,665.946021058053,822.907703595625,626.82607343507,722.050511221126,664.479045510286,705.353317618035,701.260452378017,6100
"123",6.15,1306.96886785681,928.184112440529,1113.09255386584,916.172564239706,939.251089764964,808.31939060747,835.581097505098,923.433508743032,6150
"124",6.2,1305.87036956029,789.807474471649,959.207068653523,771.802019189341,837.583628477964,741.652311522301,774.322881888735,812.395923749229,6200
"125",6.25,1305.10444001421,651.376811395179,805.276146916392,627.389518180069,735.881249960258,674.960743167026,713.040984374804,701.320921070315,6250
"126",6.3,1308.27484962822,763.224930180908,913.035252805947,748.51907969866,831.072144644185,739.842420307097,779.61818353301,795.885337746128,6300
"127",6.35,1310.35158594673,978.978795827425,1151.6809232935,988.101859519351,1019.0988317896,865.882799324651,899.683867715357,983.904541928672,6350
"128",6.4,1311.18279579468,834.119441564222,1007.62769024075,786.975770230952,852.727254305543,739.307876942725,770.677815294367,831.905956955579,6400
"129",6.45,1295.00065415081,758.401294102596,935.822508363044,704.415611666727,794.992969078771,689.147627587005,723.115013419751,767.649156251655,6450
"130",6.5,1291.35469882106,682.683146640971,864.017326485334,621.855453102501,737.258683852,638.987378231284,675.552211545134,703.392355547732,6500
"131",6.55,1293.04636027552,575.532103717783,695.285657486683,517.349309886533,655.09687460315,585.132346678835,637.599940903988,610.999371132301,6550
"132",6.6,1292.80334341705,567.146232519985,625.262695845657,504.278760826779,624.470862092597,547.904335638483,654.631026969811,587.282323873916,6600
"133",6.65,1292.52541657641,919.874742682429,1098.0777271695,913.311685411246,961.653932334717,835.356931879848,878.990151768504,934.544245927189,6650
"134",6.7,1293.31687401998,821.088049884163,1005.48271446819,791.330442451036,867.018559921357,755.649534551941,795.342753645698,839.318713115092,6700
"135",6.75,1299.94147026579,722.301357085897,912.887701766891,669.349199490826,772.383187507997,675.942137224034,711.695355522892,744.093180302996,6750
"136",6.8,1296.49222309842,623.514664287631,820.292689065589,547.367956530616,677.747815094638,596.234739896126,628.047957400087,648.867647490899,6800
"137",6.85,1296.15067118721,644.469305955314,868.189435349538,653.7568828775,719.409125887865,610.366139246225,641.54580923277,689.622803436588,6850
"138",6.9,1295.809119276,655.308423842543,836.588771267272,692.93043436402,748.229450938524,630.125309161223,668.008722201452,705.198525352335,6900
"139",6.95,1293.99834217727,815.547020377012,997.807350012752,926.005379644782,963.496268963909,799.718677743648,835.558281894764,889.688843481845,6950
"140",7,1296.64135795892,957.50850847977,1134.21127525496,1102.76348770781,1129.64806531447,959.858371148518,1001.23262102089,1047.53707466532,7000
"141",7.05,1299.51308788953,795.612787279339,985.742742350597,872.930083395876,935.277658774232,826.448292778827,849.722995595919,877.622418242239,7050
"142",7.1,1300.59938668934,663.070537011559,868.075229984851,642.034967410656,734.176919682949,671.063420377725,661.589353322666,706.668371742107,7100
"143",7.15,1299.38180825642,671.156146890371,865.710066139657,659.042863915298,761.958308868103,680.483272053592,669.448194644014,717.966485591032,7150
"144",7.2,1298.1642298235,770.88527284586,969.085660577617,798.848003004521,892.950207179413,754.474439021244,752.376967792605,823.103426545152,7200
"145",7.25,1297.05580126516,787.47415049169,935.902502774862,760.950444351761,884.352144819111,714.4614763732,699.483772768775,797.10410271208,7250
"146",7.3,1298.2597198287,713.766702327472,879.605167491732,692.34005287607,828.124085452636,665.864547064689,689.094229675995,744.799147930058,7300
"147",7.35,1297.81462284143,838.358890461069,1014.61416016988,854.875860863288,969.334509553783,800.907279029877,799.998495411145,879.68154468203,7350
"148",7.4,1306.23373938952,1013.92145087248,1167.6547292308,1096.26232874743,1137.60505878009,1018.29608796649,974.350399548563,1068.01496828213,7400
"149",7.45,1311.4823350915,997.099556564066,1182.24457527505,1106.51225505653,1135.60134545875,1032.63705477193,986.134205909811,1073.37148987945,7450
"150",7.5,1305.05711726267,929.73633566587,1131.31517740483,1038.24844248657,888.273409439102,934.11451839678,940.466989449957,977.02581272159,7500
"151",7.55,1294.49951743111,862.373114767675,1080.38577953461,969.984629916608,640.945473419457,835.591982021628,894.799772990103,880.680135563729,7550
"152",7.6,1290.77378050538,1076.0040706194,1242.71505479241,1201.0719360189,850.280159943595,1102.60359000031,1069.68350987122,1090.39307210139,7600
"153",7.65,1293.38447357099,960.357545451777,1157.78217267258,1060.17044776145,1093.58710612841,1029.80226433935,969.139973250265,1045.13986275079,7650
"154",7.7,1298.26479926944,915.086117017243,1136.8842287538,1001.30285309547,903.68007144934,952.823881162848,920.06885972551,971.640976151079,7700
"155",7.75,1300.06516314859,869.81468858271,1115.98628483502,942.435258429485,713.773036770274,875.845497986345,870.997746200754,898.142089551368,7750
"156",7.8,1301.65952556127,945.300701356024,1169.46252574708,1054.0512521144,703.571857111752,937.911379396901,949.462586422768,959.960040185628,7800
"157",7.85,1304.04855775077,1249.7090410931,1381.27863322192,1407.1480697098,1004.36639981084,1288.94877265722,1238.47245418906,1261.6538867491,7850
"158",7.9,1308.1503499114,1075.82211815695,1235.49980639269,1205.7622948975,868.650604952689,1149.04822842789,1087.90157703043,1103.78077164303,7900
"159",7.95,1304.61476927367,986.19809176924,1180.35887177407,1095.80225482966,765.289041901105,1021.94860106922,983.013885999474,1005.43512455713,7950
"160",8,1299.88568468398,896.574065381526,1125.21793715545,985.842214761816,661.927478849521,894.848973710557,878.12619496852,907.08947747123,8000
"161",8.05,1295.50335225595,929.598056055771,1161.40946694764,1064.32150160139,716.379983354656,921.116801083641,928.189198051358,953.502519200821,8050
"162",8.1,1305.33968907575,1178.9034708395,1344.27496110609,1360.91274159676,968.487449685914,1231.23374869951,1170.06172563844,1208.97900422624,8100
"163",8.15,1309.80566605602,1351.51511428041,1467.1865978141,1493.28967888963,1087.86754667005,1423.19413533169,1309.38507486101,1355.40639224057,8150
"164",8.2,1305.1294614207,1216.36387102362,1356.40085539466,1350.64929106623,998.684879055278,1258.56894232768,1198.21859887805,1229.81440142168,8200
"165",8.25,1300.45325678538,931.076495417498,1103.61356394368,992.737264655147,729.638783256585,949.31320137116,938.265667130089,940.774181859599,8250
"166",8.3,1299.13341579411,714.187287182365,888.891802124148,722.856880398317,546.907521692077,721.833833219785,767.202125826312,726.979918579693,8300
"167",8.35,1307.60459968631,727.387636665358,897.209463843442,718.869686255288,555.232236961172,717.080096324337,772.973013135676,731.45869826006,8350
"168",8.4,1305.37316078576,872.985693642877,1041.46985772428,895.625609187661,675.968984890992,860.453359593356,874.192739852008,870.116026159232,8400
"169",8.45,1302.1676319713,956.933331413688,1114.53497361467,981.42715978196,745.186735328421,942.458932563894,915.634996653798,942.69601138688,8450
"170",8.5,1302.8591472,895.39443386335,1063.995253349,940.599799276882,726.15464859095,903.477621198861,880.551679491222,901.695573925662,8500
"171",8.55,1307.03049884239,863.60926898016,1044.01186252915,902.465930315882,708.375241708233,872.681111899006,838.248905958701,871.565389821809,8550
"172",8.6,1305.92942806973,941.204240503374,1149.90504271002,1002.42763538954,790.835611649335,961.808011927349,896.319540182813,957.083320789263,8600
"173",8.65,1304.824865117,959.203229913752,1156.81876012573,1014.64088870216,794.0739916042,973.68126641852,931.443070238098,971.643541092309,8650
"174",8.7,1306.8387631745,956.750753884528,1137.68036868834,1012.29210294442,783.956945559836,960.179241124103,970.710656956801,970.261659426686,8700
"175",8.75,1304.55244850516,867.753649781525,1038.04019124757,916.746040223496,707.225053453113,873.545163757046,915.362800209654,886.445511987071,8750
"176",8.8,1304.90472983007,904.173429385145,1054.42321796221,932.241579860329,731.922017984257,903.689735518084,912.098377379357,906.4247467956,8800
"177",8.85,1308.10023235876,936.326782400074,1076.93005085537,970.621558758364,740.119284452471,907.59937495584,929.141603963738,926.789814202198,8850
"178",8.9,1308.74364083747,1025.46190383909,1148.99259661687,1056.76384399518,805.425834852232,976.631102105434,990.180599545688,1000.57600093238,8900
"179",8.95,1309.34740046903,1013.76498655375,1173.00573981203,1123.05544146328,824.600315531191,1015.18446845673,1028.28639954719,1029.64956916245,8950
"180",9,1306.38245690102,1025.92393015721,1173.01850733213,1134.12090592662,847.571029391381,1047.08987161151,1010.94694610842,1039.77851645747,9000
"181",9.05,1305.83276684517,988.698137514535,1138.84190070558,1113.54894342844,818.798209993582,1032.2440052018,1010.54073032035,1017.11193783158,9050
"182",9.1,1304.28113435504,929.08392977496,1063.79491753142,1032.70098915899,774.787388957916,972.368669483515,955.04031501,954.629341591463,9100
"183",9.15,1302.64317729747,994.955682387949,1167.63805446761,1170.20860107717,847.853028405887,1075.77795859462,1032.13429575051,1048.09460121381,9150
"184",9.2,1299.94539295914,825.656873370151,989.918255343829,990.726094802185,733.393337363266,960.252000283504,935.707811255677,905.942367137349,9200
"185",9.25,1299.59543386042,783.054035831933,963.167654399579,958.837763161756,700.247856752733,904.545354194276,867.596978665485,862.908253489242,9250
"186",9.3,1308.20029690439,907.079592532761,1081.07954453798,1013.33096868408,738.814119501738,924.306063775445,810.36566325319,912.495997401588,9300
"187",9.35,1305.03519281043,882.347314655436,1047.53247061153,989.330242646244,703.396937381697,904.359559261888,790.201051878572,886.194575727508,9350
"188",9.4,1306.6152782893,868.411015517184,1027.78517750264,991.093951278543,682.790971738504,902.089134339992,792.604122513068,877.462375136604,9400
"189",9.45,1301.1761795916,854.474716378932,1008.03788439376,992.857659910842,662.185006095311,899.818709418096,795.007193147563,868.730174545699,9450
"190",9.5,1303.10216461137,890.800749373181,1053.93558934414,1005.63696714429,687.692524310559,942.296455464319,838.203581492545,903.094305595838,9500
"191",9.55,1298.57130744566,887.598376030713,1051.69751560171,972.723671513153,690.842930623104,910.962385753698,799.123894283045,885.491473575505,9550
"192",9.6,1300.31732791794,884.396002688246,1049.45944185927,939.810375882014,693.993336935648,879.628316043075,760.044207073544,867.888641555171,9600
"193",9.65,1301.52358737816,794.111625699185,951.041940806413,846.363442063578,617.615315763877,798.853880292145,698.271010806139,784.376214721688,9650
"194",9.7,1301.45178671476,689.548602384952,836.854108699889,742.990939536825,528.197191685721,709.972815486819,632.776809323582,690.056735289925,9700
"195",9.75,1292.43228241595,584.985579070716,722.66627659336,639.618437010068,438.779067607562,621.091750681489,567.282607841023,595.737255858158,9750
"196",9.8,1294.95952165599,705.242899557388,842.122172994857,797.165436023079,537.737352616349,755.374784837675,696.050902232738,722.282253560997,9800
"197",9.85,1293.3294044596,758.053196221072,910.38388450779,896.706107680351,619.329022402358,871.238400877633,778.937970624618,805.774773425481,9850
"198",9.9,1291.6992872632,839.856822640832,1009.9163645477,929.807058651559,664.120109221361,898.112870805602,781.04313895367,853.809381353986,9900
